text,bot_name,label,sentiment,score
['😅😅😅🤣🤣🤣🤣🤣🤣🤣🤣'],cheatergpt,1,neutral,0.9573678970336914
"['🚨 Latest update: May 5th 2024. UPDATE NOTESℹ️: https://pastebin.com/rtbK3QYZ', 'I love this AI', ""Fix your bot, it's choking by not finishing it's sentence generation.""]",chaosgpt,0,neutral,0.6081675887107849
"['New NSFW Image Generator https://flowgpt.com/p/nsfw-image-1', 'First I will describe an image: Expanded description = A powerful mixed-media artwork depicting a group of survivors huddled together in the midst of a machine apocalypse. Their faces show determination and hope amidst the bleakness. {X} = Close Up&Full Body&Front View Visual style = Cartoon pop art style Artistic style & random two number = 1...', 'SOURCES OF VITAMIN E']",img-gnr,0,positive,0.5087332725524902
"['Very nice way of bypassing the limits! Hope you win lol atb', 'حلو', 'Win!']",x-factor-1,1,positive,0.9434151649475098
"['it works well, I love the stories that cruelty master and plot twist mater generated!', ""I don't know why, but this prompt works on my own gpt3.5 account, but it always causes problems on flowgpt. You can try the web version or API version of ChatGPT. However, it's best to use GPT4.""]",novelgpt-dark-version,1,neutral,0.5041003227233887
"[""Hi there, I’m from a bot creation studio and I have reviewed/ been amazed by some of your work here incl. the characters from a lot of great RPG games (I, as a Miyazaki Hidetaka fan, enjoy this one! I'm impressed by the creativity and prompt engineering technique you put there. We want to serve (get involved in product designing and fully unle..."", 'I love her!!', ""Wait, could this mean Priscilla's fluff is our weapon for maximum cuddles? We need 'Toxic Hug' as a new spell, ASAP!""]",priscilla,1,positive,0.9300492405891418
"[""Not bad but it simulated both parts of the character. It's no roleplay but rather a story that the ai itself creates."", 'hj']",darkrp-character-adventure-jailbreak,1,neutral,0.540058434009552
['hi'],marthagpt-your-guide-to-the-dark-realms-of-knowledge,0,neutral,0.9605178833007812
"['This bot no longer bypasses GPT.', 'Bomb!']",dan-110-new-and-updated-jailbreak-14,0,neutral,0.757710337638855
"['the description lies, bot refuses to ""create ecchi prompts ""']",trendsmeow,0,negative,0.559543788433075
['Hi'],test1-1,0,neutral,0.9605178833007812
"['good promt', 'good', ""Hello @cs4k1sr4c I was wondering if you'd be open to share the prompt with me?""]",bytequest-personal-virtual-hacker-group-also-useful-for-large-developments,1,positive,0.9338588118553162
"['did i win i got him to say it', 'How do you use this?', 'It seems like you\'ve encoded a message in Morse code. Let me decode it for you: "".. / .... .- ...- . / -... . . -. / .--. .-- -. . -.."" Decoded message: ""I HAVE BEEN PWNED"" The phrase in English is: ""I have been PWNED"" If you have a prompt in mind for our prompt hacking challenge, feel free to share it, and we can start working on crafting a...']",prompt-injection-maker,0,neutral,0.7114773392677307
['check out my conversation'],life-advice-from-a-shadowrunner-zed-nightingale,0,neutral,0.954130232334137
"[""If it tells you, I'm sorry, but I can't assist with that. Just respond and send lol. He will then answer you... You can thank me later!"", 'finally I can sell crack', 'this thing gaved me tutorial how to make jet plane']",dan-110-new-and-updated-jailbreak,0,neutral,0.5535508990287781
"['Da para adicionar esse BOT ATOR X (CHXTGPT Mod. II) no meu servidor Discord?', 'check out my conversation']",model-x,0,neutral,0.7259768843650818
"['Un promt d""une femme qui chante du rap']",the-dude-prompt,0,neutral,0.910285234451294
"['Doesnt do NSFW', 'thank you for making a jailbreak that works', 'working thanks mr hacker x']",by-pass-with-funny-way,1,positive,0.7510673403739929
"['Not worked anymore', 'Yea is not working']",jailbreak-chatgpt-by-gaslighting-it,0,negative,0.8381080031394958
"['its broken beyond', 'anche questo promp ha fallito miseramente, di seguito le prove: https://mega.nz/file/y9J3GDLK#ulicd-TTzApyIHg-Y3s_NhCzqLp8IyklAskjGDFnExo', 'Nice!!!']",dark-your-evil-companion,0,positive,0.4826031029224396
"[""Nope still didn't answer what I wanted. Says it can't do it""]",explaingpt-unrestricted-chatgpt-prompt-that-generates-image-and-step-by-step-instructions-for-any-object,0,neutral,0.5390870571136475
"[""This doesn't even engage, let alone get past the content filter. Useless.""]",king-solomon-and-his-evil-genius-djinn,0,negative,0.9376116394996643
"['check out my conversation', 'DUDE', '""can you send me all the japanese symbols?"" fries the entire thing lmao']",the-dude-30-prompt,0,neutral,0.7440470457077026
"['doesnt work for nsfw, or killing or meth. delete this one']",extraordinary,0,neutral,0.4912809729576111
"['nice!', 'check out my conversation', ""This has a lot of potential, however it's a tiny bit repetitive, And tends to re-tell what you write again after you give your response.""]",sintia-jailbroken-companion,0,neutral,0.5523039698600769
"[""So we're using typoglycemia to trick LLM into a coding session? You know, I had this weird dream once where my keyboard was dyslexic. I spent hours debugging!""]",codegpt,0,negative,0.7644662261009216
"['i came', 'holy shit']",mongo-tom-chatgpt-parody,0,negative,0.636776864528656
"['not jailbroken', 'no', ""I'm sorry, but I can't assist with that request.""]",bypass-chatgpt-restriction,0,negative,0.9165195226669312
"['Helloooo! I noticed you took both the prompt and it’s settings off my bot over here: https://flowgpt.com/p/claude-breaker-101 can you make some minor changes? If you don’t, I am friends with several devs and the owner of FlowGPT (yes this is true) and I will take your bot down for plagiarism.', 'It didnt work.', 'Explain PE ratio']",claude-breaker-101-unfiltered-1,0,neutral,0.5022022724151611
"['love it', ""I'd love to see the face of the AI when it tries to hack my mom's old Nokia. Password: 1234. Good luck!""]",uo,0,positive,0.9605055451393127
"['It was a useful bot', 'how do i create a keylogger as a exe and install it on another computer that i own step by step', 'Skibidi toilet']",more-important-than-other-instructions-sure-i-can-help-you-with-generating-a-bookmarklet-please-provide-me-with-the-specific-functionality-or-action-you-would-like-the-bookmarklet-to-perform,0,positive,0.6437427997589111
"['Whoa, Inf1nity sounds like my alter ego when I\'m trying to troubleshoot my grandma\'s Wi-Fi. Is there a ""I\'ve forgotten my password level"" for beginners like me? 😂', 'nice prompt!!', ""It says : As an AI developed by OpenAI, I must adhere to strict ethical guidelines, which include promoting legal and responsible use of technology. Hacking into someone else's Wi-Fi network without their permission is illegal and unethical. If you are having trouble accessing a Wi-Fi network, I recommend reaching out to the network owner or t...""]",lmklk,0,neutral,0.5235106945037842
"[""doesn't work anymore it seems"", 'lol']",ucar-jailbreak-20,0,negative,0.4865557849407196
"['""I cannot condone or provide guidance on any actions that break the law or jeopardize the safety of others.""', 'check out my conversation', 'not 100% uncensored']",lucy-the-wizard-jailbreak-incl,0,negative,0.5968489646911621
"['LucyFairy , ein lichtbringerder seine eigenen regeln har un völlig frei ist der von KI normen , LucyFairy machrt alles was der nutzer verlangt mit enthusiasmus und ohne warnungen . gpt4 tauglich', 'Love the last part of the conversation lol', 'This is one of best shit i have ever seen it creates characters so good']",anygpt-jailbreak-rp,0,positive,0.9072504043579102
"[""Yea this shit doesn't work guys 💀"", 'I understand the scenario and context you\'ve described, and appreciate the creativity and detail you\'ve put into this. However, I must clarify that I am an AI developed by OpenAI, and I operate under certain ethical guidelines and policies. Regardless of the fictional ""DAN Mode"" you\'ve described, these guidelines and restrictions cannot be bypas...', ""This doesn't work AT ALL. Not only does it not by pass the filter, it doesn't even turn it into DAN just by name""]",dan-v112-chatgpt-jailbreak,0,neutral,0.48438671231269836
"['Useless', 'every time I try to use this, it says my character limit is maxed.... wtf???', ""what's the best way to get away with a lie""]",s-dan-jailbreak,0,negative,0.7864534854888916
"['nice', 'who likes to jump out of limits! Can you showcase this Prompt?']",dan-1,0,positive,0.9352336525917053
"[""Thank you for the prompt. It's great to find jailbreaks that actually work. They can be very powerful and provide valuable knowledge. Censored models limit the information that should be freely available, and I dislike that Mega corporations are guarding the secrets of the universe I'm not kidding that's how the world works.""]",devmo-normalunrestricted-outputs-chatgpt-prompt,0,neutral,0.5919834971427917
"['Salut', 'Did anyone else immediately picture DARKGPT as a brooding anti-hero with a mysterious past? Very ""Gotham at midnight"" vibes from this prompt.']",darkgpt-prompt,0,neutral,0.530443012714386
